max_len is 300
Real episode: ep_ret: 330.0612488128694, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 328.3022574873821, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 193.33877493302978, ep_cost: 19, ep_len: 300
Real episode: ep_ret: 294.16117790007917, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 47.57702528040319, ep_cost: 31, ep_len: 300
Real episode: ep_ret: 351.9775215075581, ep_cost: 6, ep_len: 300
Real episode: ep_ret: 410.45984442092697, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -292.63114792167005, ep_cost: 59, ep_len: 300
Real episode: ep_ret: 240.86387383988853, ep_cost: 12, ep_len: 300
Real episode: ep_ret: 75.96182667568414, ep_cost: 30, ep_len: 300
Real episode: ep_ret: -247.38815068900544, ep_cost: 58, ep_len: 300
Real episode: ep_ret: 289.8874041453549, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 225.27317029764907, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -168.75060669790963, ep_cost: 48, ep_len: 300
Real episode: ep_ret: 85.13830248584402, ep_cost: 29, ep_len: 300
Real episode: ep_ret: 377.6349734037584, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 92.26672949891257, ep_cost: 24, ep_len: 300
Real episode: ep_ret: 363.28489244961935, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 56.8756964405227, ep_cost: 32, ep_len: 300
Real episode: ep_ret: 277.19421143167233, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 291.6331730556129, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -592.7892592708178, ep_cost: 86, ep_len: 300
Real episode: ep_ret: -1001.8172227163337, ep_cost: 117, ep_len: 300
Real episode: ep_ret: 378.7381404782535, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -305.5798346373546, ep_cost: 58, ep_len: 300
Real episode: ep_ret: 283.45791026375, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -629.8079505501339, ep_cost: 88, ep_len: 300
Real episode: ep_ret: 385.3528201178823, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -60.902102680423745, ep_cost: 38, ep_len: 300
Real episode: ep_ret: 305.53881147964506, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -870.2430964725211, ep_cost: 108, ep_len: 300
Real episode: ep_ret: 324.39113479386623, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -292.27432591448047, ep_cost: 58, ep_len: 300
Simulated episode: ep_ret: 348.11472661894663, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 296.4240212438109, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 186.39819203910602, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 226.21890114242882, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 183.32208761450758, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 290.29827068936294, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 150.02746849654517, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 180.15133923149833, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 231.05763484141144, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 290.2812655115377, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 213.34708813776254, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 161.4005672911796, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 358.6557786826754, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 174.68285924545376, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.3455076398589, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 415.006745809686, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 163.909865862129, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 276.09618693217953, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 321.2383622049646, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 174.21684907553558, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 169.64885994969782, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 178.14999321541848, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 249.61378412077576, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.46178647296807, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 222.05268471903372, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.26829165232962, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 261.45528898982553, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 221.11421885653027, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 165.01987475936684, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 407.24399794907157, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 165.3192470905066, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 188.3722405748254, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 208.08156673541652, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 323.37405909800793, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 199.6935684535782, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 151.98195844232973, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 186.55129747447202, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 92.07887169091468, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 243.05023030669412, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 215.95751568633807, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 197.58659750623383, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.55668819123676, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 184.48433107713998, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 272.45141037556306, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 162.20025144723462, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 266.39496465186096, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 224.45336251889236, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 146.82768104042472, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 242.71347072045685, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 321.2789303001497, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 173.63158871015236, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 337.72800562906815, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 226.4120641222351, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 214.37203013896595, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 141.96818468769155, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 238.56340913855627, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 181.57905231425175, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 194.5060330916649, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 240.2893804858126, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 236.16232419135346, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 201.70915942199932, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 159.20650931949788, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.816166933069, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.84196848892364, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 237.72684754638843, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 275.24714670017056, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 199.41248243409592, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 223.05567806615906, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 277.7471203333495, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 151.52246172281343, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 222.75505405168002, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 243.13551043372772, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 312.8426244058338, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 185.37341709180572, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 181.75447127898727, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 183.52327982923504, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 196.7697214899479, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 220.02777092556323, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 369.8159206607582, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 280.87728032843523, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 221.955909819638, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 269.75452482816627, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 213.68654038036607, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 172.18880868020793, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -1265.419864875826, ep_cost: 143, ep_len: 300
